scale,field,tech_type,year,employees
전체,감축,비재생에너지,2019,7414.0
전체,감축,재생에너지,2019,24425.0
전체,감축,신에너지,2019,2082.0
전체,감축,에너지저장,2019,37022.0
전체,감축,송배전&전력IT,2019,9066.0
전체,감축,에너지수요,2019,64433.0
전체,감축,온실가스 고정,2019,465.0
전체,적응,농업&축산,2019,9822.0
전체,적응,물관리,2019,11100.0
전체,융복합,감축 및 적응 융복합,2019,4482.0
1,감축,비재생에너지,2019,816.0
1,감축,재생에너지,2019,6043.0
1,감축,신에너지,2019,753.0
1,감축,에너지저장,2019,1083.0
1,감축,송배전&전력IT,2019,2216.0
1,감축,에너지수요,2019,9418.0
1,감축,온실가스 고정,2019,177.0
1,적응,농업&축산,2019,1516.0
1,적응,물관리,2019,3281.0
1,융복합,감축 및 적응 융복합,2019,458.0
2,감축,비재생에너지,2019,839.0
2,감축,재생에너지,2019,3936.0
2,감축,신에너지,2019,153.0
2,감축,에너지저장,2019,2116.0
2,감축,송배전&전력IT,2019,1177.0
2,감축,에너지수요,2019,8248.0
2,감축,온실가스 고정,2019,165.0
2,적응,농업&축산,2019,200.0
2,적응,물관리,2019,1822.0
2,융복합,감축 및 적응 융복합,2019,220.0
3,감축,비재생에너지,2019,739.0
3,감축,재생에너지,2019,5772.0
3,감축,신에너지,2019,308.0
3,감축,에너지저장,2019,3248.0
3,감축,송배전&전력IT,2019,2188.0
3,감축,에너지수요,2019,6801.0
3,감축,온실가스 고정,2019,108.0
3,적응,농업&축산,2019,510.0
3,적응,물관리,2019,558.0
3,융복합,감축 및 적응 융복합,2019,390.0
4,감축,비재생에너지,2019,3548.0
4,감축,재생에너지,2019,6066.0
4,감축,신에너지,2019,864.0
4,감축,에너지저장,2019,28732.0
4,감축,송배전&전력IT,2019,2950.0
4,감축,에너지수요,2019,23789.0
4,적응,농업&축산,2019,4864.0
4,적응,물관리,2019,250.0
4,융복합,감축 및 적응 융복합,2019,2022.0
5,감축,비재생에너지,2019,1472.0
5,감축,재생에너지,2019,2609.0
5,감축,신에너지,2019,3.0
5,감축,에너지저장,2019,1843.0
5,감축,송배전&전력IT,2019,535.0
5,감축,에너지수요,2019,16177.0
5,감축,온실가스 고정,2019,15.0
5,적응,농업&축산,2019,2733.0
5,적응,물관리,2019,5190.0
5,융복합,감축 및 적응 융복합,2019,1392.0
전체,감축,비재생에너지,2020,7975.0
전체,감축,재생에너지,2020,29368.0
전체,감축,신에너지,2020,6907.0
전체,감축,에너지저장,2020,22934.0
전체,감축,송배전&전력IT,2020,18061.0
전체,감축,에너지수요,2020,69261.0
전체,감축,온실가스 고정,2020,534.0
전체,적응,농업&축산,2020,5421.0
전체,적응,물관리,2020,14462.0
전체,적응,예측･모니터링,2020,180.0
전체,적응,해양수산연안,2020,144.0
전체,적응,건강,2020,957.0
전체,적응,산림육상,2020,431.0
전체,융복합,감축 및 적응 융복합,2020,4314.0
1,감축,비재생에너지,2020,418.0
1,감축,재생에너지,2020,5512.0
1,감축,신에너지,2020,1194.0
1,감축,에너지저장,2020,1362.0
1,감축,송배전&전력IT,2020,3675.0
1,감축,에너지수요,2020,7711.0
1,감축,온실가스 고정,2020,72.0
1,적응,농업&축산,2020,1893.0
1,적응,물관리,2020,3015.0
1,적응,예측･모니터링,2020,120.0
1,적응,해양수산연안,2020,61.0
1,적응,건강,2020,226.0
1,적응,산림육상,2020,223.0
1,융복합,감축 및 적응 융복합,2020,724.0
2,감축,비재생에너지,2020,194.0
2,감축,재생에너지,2020,3744.0
2,감축,신에너지,2020,732.0
2,감축,에너지저장,2020,901.0
2,감축,송배전&전력IT,2020,4336.0
2,감축,에너지수요,2020,9892.0
2,감축,온실가스 고정,2020,112.0
2,적응,농업&축산,2020,474.0
2,적응,물관리,2020,3081.0
2,적응,예측･모니터링,2020,6.0
2,적응,해양수산연안,2020,41.0
2,적응,건강,2020,419.0
2,적응,산림육상,2020,166.0
2,융복합,감축 및 적응 융복합,2020,280.0
3,감축,비재생에너지,2020,98.0
3,감축,재생에너지,2020,3752.0
3,감축,신에너지,2020,717.0
3,감축,에너지저장,2020,700.0
3,감축,송배전&전력IT,2020,2139.0
3,감축,에너지수요,2020,2650.0
3,적응,농업&축산,2020,87.0
3,적응,물관리,2020,909.0
3,적응,해양수산연안,2020,43.0
3,적응,건강,2020,181.0
3,융복합,감축 및 적응 융복합,2020,169.0
4,감축,비재생에너지,2020,20.0
4,감축,재생에너지,2020,2036.0
4,감축,신에너지,2020,242.0
4,감축,에너지저장,2020,1201.0
4,감축,송배전&전력IT,2020,2075.0
4,감축,에너지수요,2020,6066.0
4,감축,온실가스 고정,2020,23.0
4,적응,농업&축산,2020,423.0
4,적응,물관리,2020,1502.0
4,적응,건강,2020,20.0
4,융복합,감축 및 적응 융복합,2020,425.0
5,감축,비재생에너지,2020,1248.0
5,감축,재생에너지,2020,11513.0
5,감축,신에너지,2020,3719.0
5,감축,에너지저장,2020,17734.0
5,감축,송배전&전력IT,2020,3847.0
5,감축,에너지수요,2020,35902.0
5,감축,온실가스 고정,2020,262.0
5,적응,농업&축산,2020,1702.0
5,적응,물관리,2020,5218.0
5,적응,건강,2020,110.0
5,융복합,감축 및 적응 융복합,2020,731.0
6,감축,비재생에너지,2020,5997.0
